cassandra 3.11.8-1
electron7 7.1.14-7
google-chrome 88.0.4324.150-1
i3lock-color 2.12.c.5-1
js60 60.9.0-2
linux-latest 5.10-1
linux-lts 1:5.4-4
linux59 5.9.16-1
mhwd-nvidia-340xx 340.108-1
mongodb-bin 4.2.8-1
mongodb-tools-bin 4.2.8-1
php72 7.2.34-2
php72-gd 7.2.34-2
postman 7.29.0-1
pulseaudio-modules-bt-git 1:14.0.r149.dbb5164-2
python-cheetah3 3.2.5-4
spicetify-cli 1.1.0-1
spotify 1:1.1.10.546-4
stegsolve 1.3-3
ttf-iosevka 3.3.0-1
v4l2ucp 2.0.2-6
visual-studio-code-bin 1.47.2-1
woeusb 3.3.1-2
xorg-font-utils 7.6-6
zoom 5.2.446620.0816-1
