Package             Version
------------------- -----------
apparmor            3.0.1
appdirs             1.4.4
application-utility 1.3.2
arandr              0.1.10
argcomplete         1.12.1
argon2-cffi         20.1.0
asn1crypto          1.4.0
astroid             2.5.1
async-generator     1.10
attrs               20.3.0
Automat             20.2.0
backcall            0.2.0
bauh                0.9.16
bcrypt              3.2.0
Beaker              1.11.0
binwalk             2.2.1
bleach              3.3.0
btrfsutil           5.12
CacheControl        0.12.6
cached-property     1.5.2
cffi                1.14.5
chardet             4.0.0
click               7.1.2
colorama            0.4.4
constantly          15.1.0
contextlib2         0.6.0.post1
cryptography        3.4.7
decorator           4.4.2
defusedxml          0.7.1
deluge              2.0.4.dev56
distlib             0.3.1
distro              1.5.0
dnspython           1.16.0
docker              5.0.0
docker-compose      1.29.2
docker-pycreds      0.4.0
dockerpty           0.4.1
docopt              0.6.2
entrypoints         0.3
filelock            3.0.12
GeoIP               1.3.2
gpg                 1.15.1
gufw                21.4.0
html5lib            1.1
hyperlink           21.0.0
idna                3.1
importlib-metadata  4.0.1
incremental         21.3.0
ipykernel           5.5.0
ipython             7.21.0
ipython-genutils    0.2.0
ipywidgets          7.6.3
isort               5.8.0
jedi                0.18.0
Jinja2              2.11.3
jsonschema          3.2.0
jupyter             1.0.0
jupyter-client      6.1.12
jupyter-console     6.4.0
jupyter-core        4.7.1
jupyterlab-pygments 0.1.2
jupyterlab-widgets  1.0.0
lazy-object-proxy   1.6.0
lensfun             0.3.95
LibAppArmor         3.0.1
louis               3.17.0
Mako                1.1.4
Markdown            3.3.4
MarkupSafe          1.1.1
mccabe              0.6.1
mistune             0.8.4
msgpack             1.0.2
nbclient            0.5.3
nbconvert           6.0.7
nbformat            5.1.2
nest-asyncio        1.5.1
netsnmp-python      1.0a1
notebook            6.3.0
npyscreen           4.10.5
ordered-set         4.0.2
packaging           20.9
pacman-mirrors      4.21.2
pandocfilters       1.4.3
paramiko            2.7.2
parso               0.8.1
pep517              0.10.0
pexpect             4.8.0
pickleshare         0.7.5
Pillow              8.2.0
pip                 21.1.2
ply                 3.11
progress            1.5
prometheus-client   0.9.0
prompt-toolkit      3.0.18
psutil              5.8.0
ptyprocess          0.7.0
pyaml               20.4.0
pyasn1              0.4.8
pyasn1-modules      0.2.8
pycairo             1.20.0
pycparser           2.20
Pygments            2.8.1
PyGObject           3.40.1
PyHamcrest          1.10.0
pylint              2.7.2
pymongo             3.11.4
PyNaCl              1.4.0
pyOpenSSL           20.0.1
pyparsing           2.4.7
PyQt5               5.15.4
PyQt5-sip           12.8.1
pyrsistent          0.17.3
pysmbc              1.0.23
PySocks             1.7.1
python-dateutil     2.8.1
python-dotenv       0.17.1
python-libtorrent   1.2.11
python-xapp         2.0.2
python-xlib         0.29
pytoml              0.1.21
pywal               3.3.0
pyxdg               0.27
PyYAML              5.4.1
pyzmq               22.0.3
qtconsole           5.0.3
QtPy                1.9.0
ranger-fm           1.9.3
regex               2021.4.4
rencode             1.0.6
reportlab           3.5.67
requests            2.25.1
resolvelib          0.5.4
retrying            1.3.3
scons               3.1.2
Send2Trash          1.5.0
service-identity    18.1.0
setproctitle        1.2.2
setuptools          56.1.0
six                 1.16.0
speedtest-cli       2.1.3
team                1.0
termcolor           1.1.0
terminado           0.9.3
testpath            0.4.4
texttable           1.6.3
tldr                1.2.1
toml                0.10.2
torbrowser-launcher 0.3.3
tornado             6.1
traitlets           5.0.5
Twisted             21.2.0
ueberzug            18.1.9
ufw                 0.36
urllib3             1.26.4
virtualenv          20.4.5
wcwidth             0.2.5
webencodings        0.5.1
websocket-client    0.59.0
widgetsnbextension  3.5.1
wrapt               1.12.1
zipp                3.4.1
zope.interface      5.4.0
